자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간(분),이용거리(M),생년,성별,이용자종류,대여대여소ID,반납대여소ID,자전거구분
SPB-07581,2017-09-01 00:21:02,00505,자양사거리 광진아크로텔 앞,3,2017-09-01 00:25:37,00504,신자초교입구교차로,1,4,530.00,1968,M,내국인,ST-102,ST-101,LCD자전거
SPB-12298,2017-09-01 00:10:05,02107,도림천 신화교,14,2017-09-01 00:25:44,02103,신림동 우방아파트,1,14,1470.00,1971,M,내국인,ST-713,ST-703,LCD자전거
SPB-11960,2017-09-01 00:09:34,02107,도림천 신화교,6,2017-09-01 00:25:45,02103,신림동 우방아파트,5,15,200.00,1970,F,내국인,ST-713,ST-703,LCD자전거
SPB-07956,2017-09-01 00:13:56,01303,돈암초교 입구,9,2017-09-01 00:25:51,00363,신설동역 11번출구 뒤,4,11,770.00,1991,M,내국인,ST-931,ST-177,LCD자전거
SPB-02515,2017-09-01 00:06:22,00252,보라매역4번출구,6,2017-09-01 00:26:04,02157,난곡 사거리,7,19,3080.00,1988,F,내국인,ST-300,ST-711,LCD자전거
SPB-08835,2017-09-01 00:04:49,00516,광진메디칼 앞,5,2017-09-01 00:26:06,00525,한양대병원사거리,18,19,950.00,1994,M,내국인,ST-114,ST-241,LCD자전거
SPB-01071,2017-09-01 00:16:56,00119,서강나루 공원,8,2017-09-01 00:26:10,00150,서강대역 2번출구 앞,3,8,1110.00,1982,F,내국인,ST-21,ST-207,LCD자전거
SPB-05123,2017-09-01 00:11:30,00104,합정역 1번출구 앞,1,2017-09-01 00:26:15,00183,하늘채코오롱아파트 건너편,14,14,2420.00,1992,F,내국인,ST-6,ST-341,LCD자전거
SPB-07443,2017-09-01 00:12:17,00525,한양대병원사거리,17,2017-09-01 00:26:17,00536,행당역 2번출구 앞,2,13,320.00,1992,M,내국인,ST-241,ST-248,LCD자전거
SPB-07694,2017-09-01 00:19:34,02129,낙성대 과학전시관,10,2017-09-01 00:26:26,02122,낙성대로 입구,3,6,0.00,1997,M,내국인,ST-721,ST-719,LCD자전거
SPB-02986,2017-09-01 00:15:12,00144,공덕역 8번출구,4,2017-09-01 00:26:35,00144,공덕역 8번출구,5,10,2220.00,1993,M,내국인,ST-202,ST-202,LCD자전거
SPB-12389,2017-09-01 00:19:46,00931,역촌파출소,10,2017-09-01 00:26:37,00907,CJ 드림시티,3,5,330.00,1986,F,내국인,ST-479,ST-455,LCD자전거
SPB-02186,2017-09-01 00:14:50,00156,서울서부지방법원 앞,10,2017-09-01 00:26:42,00384,중림동삼거리,2,11,2160.00,1989,M,내국인,ST-213,ST-199,LCD자전거
SPB-05500,2017-09-01 00:18:31,02013,장승배기역 5번출구,26,2017-09-01 00:26:45,02024,상도역 1번출구,10,7,1100.00,1987,F,내국인,ST-687,ST-691,LCD자전거
SPB-01417,2017-09-01 00:17:01,00114,홍대입구역 8번출구 앞,11,2017-09-01 00:26:46,00111,상수역 2번출구 앞,1,9,1530.00,1978,M,내국인,ST-20,ST-15,LCD자전거
SPB-00433,2017-09-01 00:12:31,00113,홍대입구역 2번출구 앞,11,2017-09-01 00:26:50,99999,영남센터,7,13,2240.00,1994,M,내국인,ST-18,ST-229,LCD자전거
SPB-04653,2017-09-01 00:18:26,00138,신촌동 제1공영주차장 앞,3,2017-09-01 00:26:55,00125,서강대 남문 옆,9,8,1440.00,1993,M,내국인,ST-40,ST-27,LCD자전거
SPB-07829,2017-09-01 00:12:55,00630,동대문구 보건소,9,2017-09-01 00:27:00,01308,안암로터리 버스정류장 앞,1,13,950.00,1991,M,내국인,ST-397,ST-827,LCD자전거
SPB-07633,2017-09-01 00:11:35,00141,연대 대운동장 옆,17,2017-09-01 00:27:08,00114,홍대입구역 8번출구 앞,8,14,710.00,1994,M,내국인,ST-42,ST-20,LCD자전거
SPB-10985,2017-09-01 00:02:58,00809,한남 유수지 복개주차장,5,2017-09-01 00:27:14,00809,한남 유수지 복개주차장,5,22,1850.00,1980,M,내국인,ST-330,ST-330,LCD자전거
SPB-12421,2017-09-01 00:04:43,00634,외국어대 정문 앞,6,2017-09-01 00:27:18,00627,장안동삼거리 교통섬,2,21,870.00,\N,\N,비회원,ST-401,ST-395,LCD자전거
SPB-08947,2017-09-01 00:03:20,00573,구의문주차장 앞,10,2017-09-01 00:27:25,01013,강동구청역 1번 출입구,14,22,2060.00,1986,M,내국인,ST-384,ST-497,LCD자전거
SPB-02875,2017-09-01 00:07:55,00402,상암월드컵파크 9단지 앞,4,2017-09-01 00:27:38,00402,상암월드컵파크 9단지 앞,3,19,1950.00,\N,\N,비회원,ST-77,ST-77,LCD자전거
SPB-03828,2017-09-01 00:22:20,00185,마포 신수공원 앞,15,2017-09-01 00:27:43,00122,신성기사식당 앞,3,4,960.00,1993,F,내국인,ST-343,ST-24,LCD자전거
SPB-03179,2017-09-01 00:09:02,00614,용두동 사거리,5,2017-09-01 00:27:51,00635,시조사 앞,6,18,2640.00,1994,F,내국인,ST-273,ST-402,LCD자전거
SPB-07508,2017-09-01 00:08:43,00915,증산역 4번출구,10,2017-09-01 00:27:52,00933,역촌종합시장 버스정류장(예일여고 방면),6,17,1490.00,1989,F,내국인,ST-463,ST-481,LCD자전거
SPB-02089,2017-09-01 00:21:56,00198,충정2교,6,2017-09-01 00:27:55,00173,서대문역 8번출구 앞,3,5,700.00,1990,F,내국인,ST-354,ST-230,LCD자전거
SPB-04981,2017-09-01 00:09:50,02135,신림역 5번출구,5,2017-09-01 00:27:57,02141,미림여고입구 교차로,7,17,0.00,1994,M,내국인,ST-708,ST-885,LCD자전거
SPB-03216,2017-09-01 00:07:51,00103,망원역 2번출구 앞,5,2017-09-01 00:28:00,00228,선유도역 3번출구 앞,8,19,3830.00,1989,M,내국인,ST-5,ST-278,LCD자전거
SPB-07789,2017-09-01 00:13:48,00347,동대문역사문화공원역 9번출구 앞,7,2017-09-01 00:28:02,00318,광교사거리 남측,10,13,1740.00,1977,M,내국인,ST-163,ST-134,LCD자전거
SPB-09182,2017-09-01 00:14:51,01230,송파중학교 정문,3,2017-09-01 00:28:09,01245,문정 법조단지9,5,12,1420.00,\N,M,비회원,ST-897,ST-905,LCD자전거
SPB-06310,2017-09-01 00:22:57,02108,은천치안센터,18,2017-09-01 00:28:14,02116,에이스에이존빌딩,1,4,790.00,1969,M,내국인,ST-714,ST-717,LCD자전거
SPB-00010,2017-09-01 00:16:39,01230,송파중학교 정문,4,2017-09-01 00:28:14,01245,문정 법조단지9,9,11,2400.00,\N,F,비회원,ST-897,ST-905,LCD자전거
SPB-03380,2017-09-01 00:16:47,00505,자양사거리 광진아크로텔 앞,4,2017-09-01 00:28:16,00500,어린이대공원역 3번출구 앞,4,11,1990.00,1992,M,내국인,ST-102,ST-97,LCD자전거
SPB-01849,2017-09-01 00:23:10,02321,학여울역 사거리,4,2017-09-01 00:28:19,02337,대모산입구역 2번출구 앞,2,4,550.00,1993,M,내국인,ST-804,ST-782,LCD자전거
SPB-01634,2017-09-01 00:15:57,00113,홍대입구역 2번출구 앞,9,2017-09-01 00:28:22,00192,연서어린이공원,9,12,2400.00,1989,M,내국인,ST-18,ST-348,LCD자전거
SPB-05133,2017-09-01 00:09:58,00571,세종대학교 대양AI센터,9,2017-09-01 00:28:53,00575,대원중고교 입구(대하빌딩),10,18,2690.00,1998,M,내국인,ST-382,ST-386,LCD자전거
SPB-06461,2017-09-01 00:22:26,01008,암사역 3번출구(국민은행앞),2,2017-09-01 00:28:58,01001,광진교 남단 사거리(천호공원 방면),3,6,930.00,1962,M,내국인,ST-492,ST-485,LCD자전거
SPB-06717,2017-09-01 00:24:24,00358,성균관대입구 사거리 A,6,2017-09-01 00:29:18,00359,원남동사거리,4,3,860.00,1988,F,내국인,ST-173,ST-174,LCD자전거
SPB-06520,2017-09-01 00:15:22,00144,공덕역 8번출구,7,2017-09-01 00:29:30,00142,아현역 4번출구 앞,6,13,1880.00,1995,F,내국인,ST-202,ST-200,LCD자전거
SPB-06456,2017-09-01 00:13:13,02237,서울남부터미널 대합실 입구,7,2017-09-01 00:29:33,02244,말죽거리공원 사거리,8,16,3230.00,1993,F,내국인,ST-764,ST-769,LCD자전거
SPB-05391,2017-09-01 00:08:30,01020,강동경찰서,13,2017-09-01 00:29:34,01001,광진교 남단 사거리(천호공원 방면),9,20,3510.00,1995,M,내국인,ST-503,ST-485,LCD자전거
SPB-03055,2017-09-01 00:21:38,01022,길동 사거리(초소앞),17,2017-09-01 00:30:09,01018,둔촌 주공 GS 맞은편,4,8,1230.00,1986,M,내국인,ST-505,ST-830,LCD자전거
SPB-06911,2017-09-01 00:24:45,00150,서강대역 2번출구 앞,3,2017-09-01 00:30:21,00120,신수동 사거리,1,5,1120.00,1986,M,내국인,ST-207,ST-22,LCD자전거
SPB-11230,2017-09-01 00:03:00,01318,길음역 3번출구 뒤,3,2017-09-01 00:30:24,00641,용두역 4번출구,3,27,3550.00,1972,M,내국인,ST-563,ST-408,LCD자전거
SPB-02168,2017-09-01 00:15:07,02244,말죽거리공원 사거리,2,2017-09-01 00:30:29,02327,뱅뱅사거리 랜드마크타워 앞,1,15,1690.00,1984,F,내국인,ST-769,ST-810,LCD자전거
SPB-11481,2017-09-01 00:06:25,00205,산업은행 앞,3,2017-09-01 00:30:43,00247,당산역 10번출구 앞,4,23,1060.00,1989,F,내국인,ST-52,ST-295,LCD자전거
SPB-12440,2017-09-01 00:15:13,00152,마포구민체육센터 앞,15,2017-09-01 00:30:44,00152,마포구민체육센터 앞,6,14,60.00,\N,\N,비회원,ST-209,ST-209,LCD자전거
SPB-07341,2017-09-01 00:03:58,00179,가좌역 4번출구 앞,8,2017-09-01 00:31:01,00161,무악재역1번 출구,4,26,2880.00,1969,M,내국인,ST-232,ST-218,LCD자전거
SPB-11188,2017-09-01 00:06:53,00111,상수역 2번출구 앞,9,2017-09-01 00:31:10,00184,망원우체국사거리 인근,4,22,860.00,1996,F,내국인,ST-15,ST-342,LCD자전거
SPB-04741,2017-09-01 00:09:51,99999,영남센터,7,2017-09-01 00:31:10,99999,영남센터,8,20,3380.00,1985,F,내국인,ST-229,ST-229,LCD자전거
SPB-03496,2017-09-01 00:22:45,00216,삼부아파트1동 앞,7,2017-09-01 00:31:10,00207,여의나루역 1번출구 앞,16,8,780.00,1991,M,내국인,ST-65,ST-73,LCD자전거
SPB-01570,2017-09-01 00:17:14,01431,중랑구청 사거리,9,2017-09-01 00:31:16,01408,먹골역 6번출구 앞,5,13,2750.00,1994,M,내국인,ST-856,ST-570,LCD자전거
SPB-07236,2017-09-01 00:21:44,00111,상수역 2번출구 앞,10,2017-09-01 00:31:26,00102,망원역 1번출구 앞,14,9,2140.00,1992,M,내국인,ST-15,ST-4,LCD자전거
SPB-12150,2017-09-01 00:22:03,01007,암사동 선사유적지,12,2017-09-01 00:31:27,01007,암사동 선사유적지,16,9,610.00,1991,F,내국인,ST-491,ST-491,LCD자전거
SPB-00064,2017-09-01 00:17:45,01231,잠실역 6번출구,1,2017-09-01 00:31:28,01221,삼전역 4번출구,9,13,1910.00,1992,M,내국인,ST-840,ST-933,LCD자전거
SPB-02525,2017-09-01 00:20:31,00111,상수역 2번출구 앞,7,2017-09-01 00:31:29,00102,망원역 1번출구 앞,11,10,2210.00,1994,M,내국인,ST-15,ST-4,LCD자전거
SPB-06557,2017-09-01 00:09:07,00239,유스호스텔 앞,20,2017-09-01 00:31:33,00255,도림사거리,3,22,2710.00,1985,M,내국인,ST-288,ST-303,LCD자전거
SPB-07359,2017-09-01 00:25:22,00818,숙명여대 입구 교차로,13,2017-09-01 00:31:39,00819,선린인터넷 고등학교,10,5,0.00,1983,M,내국인,ST-437,ST-438,LCD자전거
SPB-04158,2017-09-01 00:23:45,01503,강북구청사거리(수유역 8번출구),1,2017-09-01 00:31:52,01519,장미원시장 건너편,9,7,1490.00,1996,F,내국인,ST-643,ST-651,LCD자전거
SPB-07012,2017-09-01 00:28:02,01132,등촌역 7번출구,9,2017-09-01 00:31:52,01136,등촌2파출소,8,3,750.00,1991,M,내국인,ST-528,ST-531,LCD자전거
SPB-07199,2017-09-01 00:19:05,00303,광화문역 1번출구 앞,3,2017-09-01 00:31:55,00313,서울역 광장 파출소 옆,5,12,2320.00,1995,F,내국인,ST-119,ST-129,LCD자전거
SPB-09847,2017-09-01 00:25:36,00195,모래내고가차도,10,2017-09-01 00:32:05,00170,DMC파크뷰자이아파트 302동 앞,10,5,340.00,1991,M,내국인,ST-351,ST-227,LCD자전거
SPB-06583,2017-09-01 00:24:59,00449,일성아파트,5,2017-09-01 00:32:06,00446,상명대입구,9,6,1790.00,1992,F,내국인,ST-941,ST-938,LCD자전거
SPB-03127,2017-09-01 00:25:56,00378,청계7가 사거리,1,2017-09-01 00:32:08,00362,청계8가사거리 A,2,5,830.00,1992,F,내국인,ST-193,ST-176,LCD자전거
SPB-02440,2017-09-01 00:25:44,01709,쌍문역4번출구 주변,12,2017-09-01 00:32:16,01512,강북중학교 앞,16,6,0.00,1993,M,내국인,ST-616,ST-862,LCD자전거
SPB-07533,2017-09-01 00:23:06,00247,당산역 10번출구 앞,8,2017-09-01 00:32:40,00239,유스호스텔 앞,13,8,500.00,1992,F,내국인,ST-295,ST-288,LCD자전거
SPB-01086,2017-09-01 00:04:44,00703,오목교역 7번출구 앞,6,2017-09-01 00:32:45,01908,해원리바파크 육교 밑,1,27,5120.00,1998,M,내국인,ST-311,ST-666,LCD자전거
SPB-06756,2017-09-01 00:24:02,01221,삼전역 4번출구,9,2017-09-01 00:32:50,01224,아시아지하보도 2번 출구,12,8,1510.00,1995,M,내국인,ST-933,ST-548,LCD자전거
SPB-06317,2017-09-01 00:13:39,00602,장안동 사거리,10,2017-09-01 00:32:50,00635,시조사 앞,2,18,3510.00,1993,M,내국인,ST-262,ST-402,LCD자전거
SPB-02204,2017-09-01 00:21:16,01611,과기대 입구(우),9,2017-09-01 00:32:57,01401,극동늘푸른아파트,14,11,2320.00,1992,M,내국인,ST-604,ST-558,LCD자전거
SPB-12100,2017-09-01 00:12:11,00375,다산 어린이공원,7,2017-09-01 00:33:00,01308,안암로터리 버스정류장 앞,9,0,0.00,1974,M,내국인,ST-190,ST-827,LCD자전거
SPB-00753,2017-09-01 00:25:52,00561,서울숲역 2번출구 앞,5,2017-09-01 00:33:04,00509,이마트 버스정류소 옆,1,6,960.00,1992,M,내국인,ST-362,ST-106,LCD자전거
SPB-02855,2017-09-01 00:00:58,00635,시조사 앞,10,2017-09-01 00:33:05,00627,장안동삼거리 교통섬,1,31,3480.00,1995,M,내국인,ST-402,ST-395,LCD자전거
SPB-04874,2017-09-01 00:26:05,00359,원남동사거리,4,2017-09-01 00:33:20,00354,포르투갈 대사관 앞,9,6,1090.00,1985,M,내국인,ST-174,ST-170,LCD자전거
SPB-05371,2017-09-01 00:01:27,00573,구의문주차장 앞,4,2017-09-01 00:33:41,00617,청솔우성아파트 앞,10,31,5830.00,1994,M,내국인,ST-384,ST-276,LCD자전거
SPB-06287,2017-09-01 00:28:29,00914,새절역 2번출구,2,2017-09-01 00:33:48,00907,CJ 드림시티,6,5,1210.00,1992,M,내국인,ST-462,ST-455,LCD자전거
SPB-02787,2017-09-01 00:12:16,00361,동묘앞역 1번출구 뒤,7,2017-09-01 00:33:48,00634,외국어대 정문 앞,1,21,5240.00,1986,F,내국인,ST-175,ST-401,LCD자전거
SPB-08028,2017-09-01 00:02:49,00359,원남동사거리,1,2017-09-01 00:34:03,00198,충정2교,5,31,1640.00,1988,F,내국인,ST-174,ST-354,LCD자전거
SPB-00718,2017-09-01 00:13:51,00102,망원역 1번출구 앞,15,2017-09-01 00:34:10,00192,연서어린이공원,10,19,3460.00,1989,F,내국인,ST-4,ST-348,LCD자전거
SPB-11523,2017-09-01 00:16:13,00716,신정6동 주민센터 인근,4,2017-09-01 00:34:18,01139,용문사 버스정류장,6,18,1220.00,1983,F,내국인,ST-428,ST-533,LCD자전거
SPB-02173,2017-09-01 00:07:30,00925,불광역 2번출구,1,2017-09-01 00:34:28,00447,신영동삼거리,\N,26,3740.00,1992,M,내국인,ST-473,ST-939,LCD자전거
SPB-07814,2017-09-01 00:26:18,01305,성북구청,1,2017-09-01 00:34:35,00363,신설동역 11번출구 뒤,3,7,660.00,1992,M,내국인,ST-947,ST-177,LCD자전거
SPB-00278,2017-09-01 00:19:57,00525,한양대병원사거리,3,2017-09-01 00:34:35,00584,광진광장 교통섬,13,14,3750.00,1994,M,내국인,ST-241,ST-445,LCD자전거
SPB-07134,2017-09-01 00:10:19,00565,옥수역 3번출구,5,2017-09-01 00:34:47,00631,답십리역 1번출구,11,24,5710.00,1991,M,내국인,ST-366,ST-398,LCD자전거
SPB-05400,2017-09-01 00:22:40,01126,우장산역 1번출구옆(우장산아이파크105동앞),4,2017-09-01 00:34:51,01146,곰달래사거리,8,11,2420.00,1987,M,내국인,ST-523,ST-537,LCD자전거
SPB-03538,2017-09-01 00:21:55,00374,신당동주민센터앞,7,2017-09-01 00:34:53,00372,약수역 3번출구 뒤,5,12,1630.00,1992,M,내국인,ST-189,ST-187,LCD자전거
SPB-05505,2017-09-01 00:03:02,01014,강동구평생학습관앞,5,2017-09-01 00:34:59,01215,올림픽공원역 1번출구 앞,15,31,4430.00,1983,M,내국인,ST-498,ST-544,LCD자전거
SPB-05041,2017-09-01 00:32:29,01323,월곡역 입구 육교 밑,8,2017-09-01 00:35:03,01322,래미안라센트아파트 103동 앞,10,2,330.00,1971,M,내국인,ST-567,ST-565,LCD자전거
SPB-00660,2017-09-01 00:10:21,01211,방이삼거리,7,2017-09-01 00:35:03,01001,광진교 남단 사거리(천호공원 방면),4,24,4320.00,1996,M,내국인,ST-739,ST-485,LCD자전거
SPB-00359,2017-09-01 00:25:55,01303,돈암초교 입구,7,2017-09-01 00:35:05,00356,KT혜화지사 앞,15,8,2350.00,1989,M,내국인,ST-931,ST-172,LCD자전거
SPB-04740,2017-09-01 00:23:58,01824,독산근린공원 입구,4,2017-09-01 00:35:13,01825,한신아파트 앞 육교 아래,8,10,1380.00,\N,\N,비회원,ST-632,ST-633,LCD자전거
SPB-09166,2017-09-01 00:31:01,00127,현대벤처빌 앞,15,2017-09-01 00:35:18,00122,신성기사식당 앞,1,3,750.00,1995,M,내국인,ST-29,ST-24,LCD자전거
SPB-07544,2017-09-01 00:29:37,00127,현대벤처빌 앞,14,2017-09-01 00:35:19,00122,신성기사식당 앞,8,5,480.00,1997,M,내국인,ST-29,ST-24,LCD자전거
SPB-02641,2017-09-01 00:27:05,01437,늘푸른공원 앞,5,2017-09-01 00:35:23,00606,서울반도체고 앞,4,7,1400.00,1967,M,내국인,ST-595,ST-266,LCD자전거
SPB-04763,2017-09-01 00:16:07,00162,봉원고가차도 밑,2,2017-09-01 00:35:24,00113,홍대입구역 2번출구 앞,8,18,3280.00,1990,M,내국인,ST-219,ST-18,LCD자전거
SPB-01733,2017-09-01 00:29:19,02024,상도역 1번출구,3,2017-09-01 00:35:33,02054,삼익아파트,6,5,1230.00,1982,M,내국인,ST-691,ST-700,LCD자전거
SPB-05533,2017-09-01 00:27:47,00125,서강대 남문 옆,1,2017-09-01 00:35:34,00144,공덕역 8번출구,5,5,1350.00,1997,M,내국인,ST-27,ST-202,LCD자전거
SPB-07898,2017-09-01 00:25:17,01326,상월곡역 1번출구,3,2017-09-01 00:36:06,00634,외국어대 정문 앞,3,10,1490.00,1983,M,내국인,ST-572,ST-401,LCD자전거
SPB-09161,2017-09-01 00:24:39,00253,신풍역 5번출구 인근,8,2017-09-01 00:36:11,02020,장승배기역2번출구뒷편쪽,10,10,1700.00,1991,M,내국인,ST-301,ST-690,LCD자전거
SPB-01038,2017-09-01 00:32:46,01953,천왕역 4번출구 뒤,3,2017-09-01 00:36:11,01952,천왕연지타운2단지 앞,5,3,770.00,1990,F,내국인,ST-876,ST-875,LCD자전거
SPB-07061,2017-09-01 00:29:38,02122,낙성대로 입구,12,2017-09-01 00:36:29,02116,에이스에이존빌딩,5,6,1050.00,1995,F,내국인,ST-719,ST-717,LCD자전거
SPB-03726,2017-09-01 00:01:27,00153,성산2교 사거리,1,2017-09-01 00:36:34,00152,마포구민체육센터 앞,29,34,3360.00,1997,F,내국인,ST-210,ST-209,LCD자전거
SPB-05342,2017-09-01 00:22:08,00103,망원역 2번출구 앞,1,2017-09-01 00:36:36,00106,합정역 7번출구 앞,3,14,850.00,\N,\N,비회원,ST-5,ST-8,LCD자전거
SPB-03244,2017-09-01 00:13:17,00152,마포구민체육센터 앞,29,2017-09-01 00:36:37,00914,새절역 2번출구,2,22,5500.00,1981,M,내국인,ST-209,ST-462,LCD자전거
SPB-11481,2017-09-01 00:32:09,00247,당산역 10번출구 앞,4,2017-09-01 00:36:46,00238,제2구민체육센타 앞,10,4,530.00,1984,M,내국인,ST-295,ST-287,LCD자전거
SPB-04080,2017-09-01 00:30:17,00634,외국어대 정문 앞,2,2017-09-01 00:36:50,00634,외국어대 정문 앞,5,6,720.00,1990,F,내국인,ST-401,ST-401,LCD자전거
SPB-12199,2017-09-01 00:19:59,01021,강일동 리슈빌 빌딩앞,6,2017-09-01 00:37:00,01014,강동구평생학습관앞,14,16,2680.00,1994,M,내국인,ST-504,ST-498,LCD자전거
SPB-06511,2017-09-01 00:15:42,00142,아현역 4번출구 앞,6,2017-09-01 00:37:05,00145,공덕역 5번출구,5,21,1740.00,1974,M,내국인,ST-200,ST-203,LCD자전거
SPB-02008,2017-09-01 00:30:25,00104,합정역 1번출구 앞,13,2017-09-01 00:37:21,00109,제일빌딩 앞,8,6,930.00,1994,M,내국인,ST-6,ST-11,LCD자전거
SPB-04305,2017-09-01 00:31:44,01630,수연빌딩 앞,6,2017-09-01 00:37:28,01628,노일초등학교 앞,8,5,680.00,1965,M,내국인,ST-869,ST-868,LCD자전거
SPB-07626,2017-09-01 00:27:23,00335,종로3가역 15번출구 뒤,3,2017-09-01 00:37:29,00314,국립현대미술관,5,9,1800.00,1986,M,내국인,ST-151,ST-130,LCD자전거
SPB-07741,2017-09-01 00:10:46,00583,청계천 생태교실 앞,6,2017-09-01 00:37:30,00639,서울시립대 후문,1,26,1450.00,1995,M,내국인,ST-376,ST-406,LCD자전거
SPB-04660,2017-09-01 00:24:01,01824,독산근린공원 입구,3,2017-09-01 00:37:43,01826,한신코아 앞,19,13,1810.00,1988,F,내국인,ST-632,ST-634,LCD자전거
SPB-08575,2017-09-01 00:35:03,00388,동성중학교 앞,2,2017-09-01 00:37:45,00358,성균관대입구 사거리 A,7,2,170.00,1979,F,내국인,ST-444,ST-173,LCD자전거
SPB-02809,2017-09-01 00:08:59,00932,예일여중,5,2017-09-01 00:37:47,00933,역촌종합시장 버스정류장(예일여고 방면),9,28,4440.00,1995,M,내국인,ST-480,ST-481,LCD자전거
SPB-01163,2017-09-01 00:11:22,00152,마포구민체육센터 앞,9,2017-09-01 00:37:48,00175,홍연2교옆,7,26,5730.00,1996,F,내국인,ST-209,ST-231,LCD자전거
SPB-09168,2017-09-01 00:27:19,00378,청계7가 사거리,2,2017-09-01 00:37:51,00615,용두동 래미안허브리츠아파트 앞,2,10,1610.00,1989,M,내국인,ST-193,ST-274,LCD자전거
SPB-10364,2017-09-01 00:10:39,00583,청계천 생태교실 앞,15,2017-09-01 00:37:53,00639,서울시립대 후문,2,25,1660.00,1995,M,내국인,ST-376,ST-406,LCD자전거
SPB-08943,2017-09-01 00:11:34,00152,마포구민체육센터 앞,10,2017-09-01 00:37:56,00175,홍연2교옆,5,25,2280.00,1988,M,내국인,ST-209,ST-231,LCD자전거
SPB-02734,2017-09-01 00:22:20,00340,혜화동 로터리,5,2017-09-01 00:37:57,00361,동묘앞역 1번출구 뒤,9,15,2740.00,1986,M,내국인,ST-156,ST-175,LCD자전거
SPB-04936,2017-09-01 00:14:04,00634,외국어대 정문 앞,5,2017-09-01 00:38:01,00627,장안동삼거리 교통섬,1,23,4040.00,\N,\N,비회원,ST-401,ST-395,LCD자전거
SPB-02268,2017-09-01 00:28:57,00130,신촌역(2호선) 7번출구 앞,3,2017-09-01 00:38:03,00122,신성기사식당 앞,10,8,1430.00,1986,F,내국인,ST-32,ST-24,LCD자전거
SPB-05661,2017-09-01 00:32:44,00905,구파발역 2번출구,11,2017-09-01 00:38:09,00903,은평뉴타운 아이파크,17,5,1530.00,1987,M,내국인,ST-453,ST-451,LCD자전거
SPB-02029,2017-09-01 00:21:14,00704,남부법원검찰청 교차로,7,2017-09-01 00:38:10,00711,신일해피트리아파트 앞,1,16,2800.00,1982,M,내국인,ST-312,ST-318,LCD자전거
SPB-05959,2017-09-01 00:29:08,00588,뚝섬 유원지역,15,2017-09-01 00:38:15,00505,자양사거리 광진아크로텔 앞,5,8,2130.00,1984,M,내국인,ST-483,ST-102,LCD자전거
SPB-00717,2017-09-01 00:25:18,01620,중계구민체육센터,1,2017-09-01 00:38:24,01620,중계구민체육센터,1,12,2110.00,1969,M,내국인,ST-867,ST-867,LCD자전거
SPB-12138,2017-09-01 00:30:51,00932,예일여중,7,2017-09-01 00:38:25,00931,역촌파출소,2,7,190.00,1977,M,내국인,ST-480,ST-479,LCD자전거
SPB-11626,2017-09-01 00:09:30,00642,신답역 사거리,2,2017-09-01 00:38:30,01431,중랑구청 사거리,6,26,3410.00,\N,\N,\N,ST-409,ST-856,LCD자전거
SPB-03164,2017-09-01 00:23:20,00417,DMC역 2번출구 옆,12,2017-09-01 00:38:37,00914,새절역 2번출구,9,14,2640.00,1996,F,내국인,ST-93,ST-462,LCD자전거
SPB-09294,2017-09-01 00:05:17,00633,청량리 기업은행 앞,1,2017-09-01 00:38:38,00635,시조사 앞,5,30,660.00,1987,M,내국인,ST-400,ST-402,LCD자전거
SPB-03030,2017-09-01 00:32:20,00341,혜화역 3번출구 뒤,6,2017-09-01 00:38:42,00355,서울사대부설초등학교 앞,1,6,630.00,1988,M,내국인,ST-157,ST-171,LCD자전거
SPB-04415,2017-09-01 00:23:50,01318,길음역 3번출구 뒤,2,2017-09-01 00:38:47,01320,LG베스트샵 종암점,10,14,2150.00,1970,M,내국인,ST-563,ST-597,LCD자전거
SPB-06643,2017-09-01 00:04:37,00633,청량리 기업은행 앞,4,2017-09-01 00:38:54,00635,시조사 앞,3,33,1300.00,1987,F,내국인,ST-400,ST-402,LCD자전거
SPB-07557,2017-09-01 00:23:13,00238,제2구민체육센타 앞,9,2017-09-01 00:38:57,00266,영등포청과시장 사거리,5,14,1310.00,1986,M,내국인,ST-287,ST-420,LCD자전거
SPB-04532,2017-09-01 00:18:24,00207,여의나루역 1번출구 앞,4,2017-09-01 00:38:58,00201,진미파라곤 앞,2,20,2390.00,\N,M,비회원,ST-73,ST-46,LCD자전거
SPB-11980,2017-09-01 00:21:07,01145,곰달래 문화복지센터 B,8,2017-09-01 00:39:01,00703,오목교역 7번출구 앞,8,17,1390.00,1981,M,내국인,ST-536,ST-311,LCD자전거
SPB-03702,2017-09-01 00:26:05,00131,증산2교,1,2017-09-01 00:39:02,00932,예일여중,7,12,3300.00,1991,M,내국인,ST-33,ST-480,LCD자전거
SPB-11888,2017-09-01 00:30:43,00822,이촌1동 마을공원,1,2017-09-01 00:39:03,00816,신용산역 6번출구 앞,1,7,530.00,1975,M,내국인,ST-440,ST-435,LCD자전거
SPB-06764,2017-09-01 00:07:16,02308,압구정파출소 앞,12,2017-09-01 00:39:07,00825,서빙고동 주민센터 앞,3,31,5720.00,1976,M,내국인,ST-793,ST-442,LCD자전거
SPB-00345,2017-09-01 00:34:55,00642,신답역 사거리,5,2017-09-01 00:39:24,00624,전농동 동아아파트 앞,10,4,760.00,1987,M,내국인,ST-409,ST-392,LCD자전거
