hour,rental_count
0,727949
1,513970
2,342660
3,251077
4,216334
5,416761
6,879894
7,2038541
8,2934686
9,1661689
10,1299424
11,1482492
12,1616103
13,1628229
14,1671990
15,1883873
16,2282875
17,3048088
18,3627270
19,2451675
20,2048528
21,1862537
22,1525623
23,960386
