month_no,month,rental_count
1,2025-01,1704188
2,2025-02,1629474
3,2025-03,2876862
4,2025-04,3630749
5,2025-05,3859379
6,2025-06,4024309
7,2025-07,3536197
8,2025-08,3559262
9,2025-09,3992296
10,2025-10,3407800
11,2025-11,3186968
12,2025-12,1965170
