metric,value_2017,value_2025,change,interpretation
전체 대여 건수,"5,030,577건","37,372,654건",7.43배,전체 이용량은 감소하지 않고 크게 증가
최고 이용 시간,18시,18시,18시 대여 7.20배,퇴근 피크 패턴 유지
8시 이용 비중,5.9%,7.9%,+1.9%p,출근 시간대 비중 확대
8시·17~19시 이용 비중,30.5%,32.3%,+1.8%p,생활 이동 성격 유지 및 소폭 강화
평균 이용시간,28.59분,20.73분,-27.5%,더 짧은 시간 단위의 이용
평균 이동거리,3.62km,2.30km,-36.4%,생활권 단거리 이동 중심성 강화
